Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2020,"31,343","36,591","26,593","8,255",,,,,,,,,"102,782"
2019,"32,892","32,886","41,890","17,564","17,723","16,421","15,255","14,918","14,109","19,594","19,161","20,773","263,186"
2018,"30,653","34,028","43,740","17,263","19,695","16,507","16,270","8,865","13,995","18,027","21,217","20,115","260,375"
2017,"24,958","45,485","34,002","21,775","13,673","12,903","13,370","15,496","17,501","18,642","21,097","21,632","260,534"
2016,"20,982","29,845","30,408","25,953","20,430","12,785","15,473","10,194","13,706","15,180","18,783","20,447","234,186"
2015,"13,412","25,817","32,871","23,072","17,136","17,702","14,469","14,705","9,970","16,181","17,351","20,037","222,723"
2014,"22,000","25,040","34,967","19,881","15,191","15,279","12,924","12,862","11,549","18,171","12,264","24,420","224,548"
2013,"18,101","30,791","37,011","18,771","15,303","12,266","12,712","12,839","9,240","10,693","13,521","15,612","206,860"
2012,"16,551","23,125","9,188","17,781","13,827","13,622","11,959","10,716","13,217","14,692","6,729","10,336","161,743"
2011,"17,341","85,548","34,988","3,847","4,428","4,221","4,398","17,197","7,375","10,586","10,806","10,670","211,405"
2010,"30,142","25,166","37,013","18,199","14,649","4,520","15,346","3,069","13,938","13,737","10,530","23,293","209,602"
2009,"41,433","43,679","39,746","61,832","19,629","14,880","14,228","9,460","11,805","24,745","29,197","19,430","330,064"
2008,"44,064","35,687","44,883","59,030","18,597","17,033","20,924","12,108","11,442","26,971","29,601","19,950","340,290"
2007,"45,258","28,580","48,809","32,375","23,690","25,861","14,497","10,153","17,994","28,175","30,476","35,726","341,594"
2006,"40,421","45,167","25,958","21,502","16,869","15,229","18,396","9,356","43,910","15,494","39,243","21,558","313,103"
2005,"21,309","35,248","45,116","46,091","15,800","14,229","14,165","13,536","15,849","17,004","18,170","23,551","280,068"
2004,"22,324","32,861","33,932","26,262","17,862","13,015","17,862","14,601","18,277","15,044","6,938","10,606","229,584"
2003,"22,158","42,745","39,896","25,725","23,249","13,648","16,402","12,959","14,525","18,303","23,830","24,126","277,566"
2002,"30,233","43,595","39,817","26,424","18,042","13,844","24,946","19,936","18,778","18,175","18,667","21,977","294,434"
2001,"47,777","54,158","63,911","34,147","16,056","16,229","12,724","12,803","11,755","14,282","19,330","25,856","329,028"
2000,"37,080","46,385","38,587","24,075","16,848","11,191","11,560","11,971","11,501","15,353","16,156","17,599","258,306"
1999,"14,147","18,890","24,676","17,741","13,203","9,433","8,941","8,425","9,111","12,543","9,960","9,037","156,107"
1998,"18,669","27,731","49,998","36,926","12,547","8,113","4,646","2,772","2,796","5,073","6,056","6,799","182,126"
1997,"19,577","21,462","23,589","19,244","20,718","11,396","13,012","3,527","4,357","8,597","10,293","12,397","168,169"
1996,"37,064","72,668","82,861","50,294","24,815","11,985","13,694","12,723","16,340","22,311","24,616","30,350","399,721"
1995,"52,007","62,768","112,162","62,794","17,705","14,845","13,670","12,723","13,575","24,183","17,571","8,450","412,453"
1994,"23,555","33,337","59,101","37,236","14,086","11,156","10,932","12,272","12,501","13,112","23,285","24,184","274,757"
1993,"21,887","31,846","55,222","37,373","13,794","9,131","8,059","7,920","8,041","12,867","21,993","23,643","251,776"
1992,"26,185","37,913","52,478","38,156","14,078","9,041","8,087","7,666","7,584","13,244","22,377","23,868","260,677"
1991,"22,408","33,653","42,105","29,961","17,137","9,076","8,138","7,725","7,425","11,212","20,671","19,331","228,842"
1990,"27,351","41,098","42,884","24,760","14,054","8,231","6,585","7,238","5,370","8,990","15,748","16,112","218,421"
1989,"27,608","40,583","42,539","19,327","12,655","7,723","7,153","7,597","8,399","11,118","15,810","16,302","216,814"
1988,"26,904","40,750","45,096","30,734","14,902","7,601","7,962","8,091","8,931","12,228","17,054","20,000","240,253"
1987,"33,055","40,818","45,678","28,895","15,258","8,197","7,399","7,266","8,918","12,522","17,570","21,513","247,089"
1986,"24,447","36,887","35,985","26,060","13,480","8,228","7,970","6,707","7,935","14,361","17,933","19,919","219,912"
1985,"23,372","30,225","27,129","23,074","12,379","6,150","5,807","7,460","5,725","8,410","12,713","13,137","175,581"
1984,"20,209","38,975","32,323","22,044","12,515","8,365","5,530","4,459","5,881","9,468","13,644","8,598","182,011"
1983,"19,117","31,557","41,563","32,662","15,508","8,811","4,925","4,865","6,827","8,614","12,544","18,097","205,090"
1982,"10,946","18,520","29,114","26,460","12,811","7,981","6,073","5,495","5,754","7,546","9,733","11,501","151,934"
1981,"18,909","30,491","25,615","36,461","12,312","4,708","3,816","5,232","6,762","9,702","12,211","11,531","177,750"
1980,"13,872","20,683","28,705","22,301","8,830","5,312","3,882","4,230","5,819","5,206","12,512","16,959","148,311"
1979,"15,108","22,137","20,322","19,413","7,795","4,637","4,258","3,309","4,905","6,618","12,655","10,477","131,634"
